desc,pert_type,cell_iname,norm_cs
REACTOME_GLOBAL_GENOMIC_NER_GG_NER:A375:trt_sh.cgs,TRT_SH.CGS,A375,-1.98
REACTOME_NUCLEOTIDE_EXCISION_REPAIR:A375:trt_sh.cgs,TRT_SH.CGS,A375,-1.96
PID_VEGFR1_2_PATHWAY:A549:trt_sh.cgs,TRT_SH.CGS,A549,-1.93
PID_MYC_ACTIV_PATHWAY:A375:trt_sh.cgs,TRT_SH.CGS,A375,-1.92
KEGG_THYROID_CANCER:A375:trt_xpr,TRT_XPR,A375,-1.92
PID_ILK_PATHWAY:A375:trt_xpr,TRT_XPR,A375,-1.91
PID_TOLL_ENDOGENOUS_PATHWAY:BICR6:trt_xpr,TRT_XPR,BICR6,-1.91
PID_HEDGEHOG_GLI_PATHWAY:A375:trt_sh.cgs,TRT_SH.CGS,A375,-1.9
REACTOME_SIGNALING_BY_ROBO_RECEPTOR:A549:trt_xpr,TRT_XPR,A549,-1.85
REACTOME_DEADENYLATION_DEPENDENT_MRNA_DECAY:MCF7:trt_sh.cgs,TRT_SH.CGS,MCF7,-1.84
BIOCARTA_CDK5_PATHWAY:A375:trt_oe,TRT_OE,A375,-1.84
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE:MCF7:trt_sh.cgs,TRT_SH.CGS,MCF7,-1.84
KD_PHOSPHOLIPASES:trt_sh.cgs,TRT_SH.CGS,-666,-1.83
KEGG_CITRATE_CYCLE_TCA_CYCLE:A549:trt_sh.cgs,TRT_SH.CGS,A549,-1.82
REACTOME_IL_2_SIGNALING:A375:trt_sh.cgs,TRT_SH.CGS,A375,-1.82
GROWTH_FACTOR_RECEPTOR_INHIBITOR:trt_cp,TRT_CP,-666,-1.82
HALLMARK_WNT_BETA_CATENIN_SIGNALING:A549:trt_sh.cgs,TRT_SH.CGS,A549,-1.82
PID_ILK_PATHWAY:A375:trt_sh.cgs,TRT_SH.CGS,A375,-1.81
REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE:A549:trt_sh.cgs,TRT_SH.CGS,A549,-1.81
MTOR_INHIBITOR:HA1E:trt_cp,TRT_CP,HA1E,-1.8
