desc,pert_type,cell_iname,norm_cs
CP_TOPOISOMERASE_INHIBITOR:A375:trt_cp,TRT_CP,A375,2.01
PKC_ACTIVATOR:trt_cp,TRT_CP,-666,1.93
REACTOME_SYNTHESIS_AND_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES:ES2:trt_xpr,TRT_XPR,ES2,1.87
KEGG_ENDOMETRIAL_CANCER:A375:trt_sh.cgs,TRT_SH.CGS,A375,1.87
KEGG_JAK_STAT_SIGNALING_PATHWAY:VCAP:trt_sh.cgs,TRT_SH.CGS,VCAP,1.85
OE_NFKB_ACTIVATION:trt_oe,TRT_OE,-666,1.84
BIOCARTA_NFKB_PATHWAY:MCF7:trt_sh.cgs,TRT_SH.CGS,MCF7,1.84
REACTOME_SHC1_EVENTS_IN_EGFR_SIGNALING:H1299:trt_oe,TRT_OE,H1299,1.83
PID_MAPK_TRK_PATHWAY:H1299:trt_oe,TRT_OE,H1299,1.82
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION:A375:trt_sh.cgs,TRT_SH.CGS,A375,1.81
BIOCARTA_AT1R_PATHWAY:U2OS:trt_oe,TRT_OE,U2OS,1.81
CP_TOPOISOMERASE_INHIBITOR:MCF7:trt_cp,TRT_CP,MCF7,1.81
REACTOME_P38MAPK_EVENTS:H1299:trt_oe,TRT_OE,H1299,1.79
CP_TOPOISOMERASE_INHIBITOR:trt_cp,TRT_CP,-666,1.78
REACTOME_SIGNALING_BY_WNT:A549:trt_sh.cgs,TRT_SH.CGS,A549,1.78
KEGG_PYRUVATE_METABOLISM:A549:trt_sh.cgs,TRT_SH.CGS,A549,1.78
REACTOME_L1CAM_INTERACTIONS:HEPG2:trt_sh.cgs,TRT_SH.CGS,HEPG2,1.77
BIOCARTA_SPRY_PATHWAY:H1299:trt_oe,TRT_OE,H1299,1.77
PID_CDC42_PATHWAY:U2OS:trt_oe,TRT_OE,U2OS,1.77
HALLMARK_MYC_TARGETS_V2:MCF7:trt_sh.cgs,TRT_SH.CGS,MCF7,1.77
